LIED_ID,POSITION,DATUM_VON,DATUM_BIS
257519,49,2006-10-27,2006-11-02
186910,24,2006-11-03,2006-11-09
215541,48,2006-11-03,2006-11-09
256269,45,2006-11-10,2006-11-16
203338,2,2006-12-01,2006-12-07
215536,30,2006-12-15,2006-12-21
258497,42,2006-12-15,2006-12-21
203338,3,2007-01-05,2007-01-11
150302,23,2007-01-19,2007-01-25
164930,13,2007-02-02,2007-02-08
268907,22,2007-02-23,2007-03-01
283418,25,2007-02-23,2007-03-01
164930,26,2007-02-23,2007-03-01
243453,28,2007-03-16,2007-03-22
245373,35,2007-03-16,2007-03-22
279525,50,2007-03-23,2007-03-29
284613,13,2007-03-30,2007-04-05
289900,29,2007-04-06,2007-04-12
283111,37,2007-04-13,2007-04-19
284613,17,2007-04-20,2007-04-26
284613,35,2007-05-18,2007-05-24
289900,49,2007-05-18,2007-05-24
303065,39,2007-05-25,2007-05-31
302121,45,2007-06-08,2007-06-14
303814,20,2007-06-15,2007-06-21
284613,43,2007-06-15,2007-06-21
284613,44,2007-06-22,2007-06-28
319452,9,2007-06-29,2007-07-05
303814,11,2007-07-06,2007-07-12
251198,33,2007-07-20,2007-07-26
275889,25,2007-07-27,2007-08-02
321342,36,2007-08-03,2007-08-09
268903,40,2007-08-03,2007-08-09
275889,29,2007-08-10,2007-08-16
319452,3,2007-08-24,2007-08-30
303814,21,2007-08-24,2007-08-30
275889,26,2007-08-24,2007-08-30
346819,1,2007-09-07,2007-09-13
338233,47,2007-09-07,2007-09-13
346136,8,2007-09-14,2007-09-20
346819,1,2007-09-21,2007-09-27
283118,11,2007-09-21,2007-09-27
338135,42,2007-09-21,2007-09-27
356375,45,2007-09-28,2007-10-04
358666,1,2007-10-19,2007-10-25
319452,12,2007-11-16,2007-11-22
346819,24,2007-11-30,2007-12-06
364439,3,2007-12-07,2007-12-13
391720,45,2007-12-07,2007-12-13
400802,50,2007-12-14,2007-12-20
389998,39,2007-12-21,2008-01-03
338136,43,2008-01-04,2008-01-10
389998,44,2008-01-18,2008-01-24
283118,6,2008-02-01,2008-02-07
376463,7,2008-02-01,2008-02-07
284613,33,2008-02-01,2008-02-07
364439,17,2008-02-08,2008-02-14
416918,48,2008-02-08,2008-02-14
357518,38,2008-02-29,2008-03-06
418352,1,2008-03-21,2008-03-27
418856,39,2008-03-28,2008-04-03
283118,36,2008-04-18,2008-04-24
418352,27,2008-05-30,2008-06-05
440498,6,2008-06-06,2008-06-12
440785,9,2008-06-13,2008-06-19
419388,50,2008-07-04,2008-07-10
201009,42,2008-07-11,2008-07-17
335448,5,2008-07-18,2008-07-24
437093,40,2008-07-18,2008-07-24
440498,40,2008-08-01,2008-08-07
470720,49,2008-08-15,2008-08-21
465185,37,2008-08-22,2008-08-28
491780,9,2008-08-29,2008-09-04
335448,14,2008-08-29,2008-09-04
465185,34,2008-08-29,2008-09-04
481306,5,2008-09-19,2008-09-25
491780,8,2008-09-19,2008-09-25
335447,20,2008-09-19,2008-09-25
472424,2,2008-09-26,2008-10-02
472805,44,2008-10-03,2008-10-09
511038,13,2008-10-17,2008-10-23
469340,20,2008-10-24,2008-10-30
516509,9,2008-10-31,2008-11-06
481306,16,2008-10-31,2008-11-06
335448,43,2008-10-31,2008-11-06
516509,24,2008-11-28,2008-12-04
520718,34,2008-11-28,2008-12-04
376465,45,2008-11-28,2008-12-04
516509,21,2008-12-05,2008-12-11
520368,26,2008-12-12,2008-12-18
516509,37,2008-12-19,2008-12-25
335448,38,2008-12-19,2008-12-25
492143,34,2009-01-16,2009-01-22
522777,17,2009-02-13,2009-02-19
520718,32,2009-02-13,2009-02-19
515523,15,2009-02-20,2009-02-26
528037,24,2009-02-20,2009-02-26
491780,43,2009-02-20,2009-02-26
472808,47,2009-02-20,2009-02-26
516023,26,2009-02-27,2009-03-05
544622,48,2009-02-27,2009-03-05
548928,12,2009-03-06,2009-03-12
491780,43,2009-03-13,2009-03-19
515523,7,2009-03-20,2009-03-26
529077,30,2009-03-20,2009-03-26
555890,28,2009-04-10,2009-04-16
548881,48,2009-05-08,2009-05-14
562624,32,2009-05-22,2009-05-28
549043,18,2009-06-26,2009-07-02
